goodForGroups,city,state,latitude,longitude,stars,reviewCount,checkins,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids
1,Las Vegas,NV,36.1266465,-115.225189,3.5,18,25,FALSE,beer_and_wine,quiet,casual,2,,,,FALSE,,
1,Phoenix,AZ,33.5083316,-112.0565795,3,12,21,TRUE,full_bar,,,3,,,outdoor,TRUE,,
1,Pittsburgh,PA,40.4304098,-79.9773158,3,3,4,TRUE,none,average,casual,1,,TRUE,,FALSE,,
1,Charlotte,NC,35.2281289,-80.841488,4,74,112,TRUE,beer_and_wine,quiet,casual,2,TRUE,FALSE,,FALSE,FALSE,
0,Chandler,AZ,33.29041281,-111.8409679,4,45,42,TRUE,none,,,2,TRUE,,,,,
1,Charlotte,NC,35.256247,-80.791094,4,24,41,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,,FALSE,,
1,Glendale,AZ,33.596727,-112.200209,3.5,14,22,TRUE,full_bar,,casual,1,TRUE,FALSE,,FALSE,,TRUE
1,Mesa,AZ,33.3765345,-111.8778341,3,47,60,FALSE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,,
1,Las Vegas,NV,36.1183787,-115.1726202,4,92,341,TRUE,full_bar,very_loud,,2,,,yes,FALSE,,
1,Phoenix,AZ,33.3778514,-112.0358955,4,22,36,FALSE,none,quiet,casual,2,TRUE,FALSE,,TRUE,FALSE,
1,Stallings,NC,35.0870285,-80.69602203,4,15,37,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,,FALSE,,
1,Las Vegas,NV,36.16367115,-115.2892949,4,146,622,TRUE,full_bar,average,casual,2,FALSE,TRUE,no,TRUE,FALSE,
1,Charlotte,NC,35.1473609,-80.833041,3.5,73,128,TRUE,full_bar,quiet,casual,2,FALSE,TRUE,,FALSE,,TRUE
1,Montral,QC,45.5039275,-73.5546088,3.5,63,78,TRUE,full_bar,loud,casual,3,FALSE,FALSE,,FALSE,FALSE,
0,Charlotte,NC,35.2263267,-80.8429359,5,9,6,TRUE,none,,,2,,,,,,
1,Middleton,WI,43.0999335,-89.511243,4,26,26,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Surprise,AZ,33.6414198,-112.3557678,3,53,186,FALSE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
0,Las Vegas,NV,36.12974,-115.06516,3.5,3,78,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Tempe,AZ,33.3350535,-111.9445749,4,52,158,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,FALSE,
0,Phoenix,AZ,33.60799,-112.0657101,4,11,61,TRUE,none,,,1,,,,,,
1,Charlotte,NC,35.1474555,-80.809042,4,27,56,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,TRUE,FALSE,
1,Montral,QC,45.51464774,-73.56577461,4,22,27,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Las Vegas,NV,36.0577809,-115.2437638,3,14,180,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Phoenix,AZ,33.67831844,-112.0305061,3.5,106,270,TRUE,full_bar,average,casual,1,FALSE,TRUE,,TRUE,TRUE,
0,Las Vegas,NV,36.05283176,-115.1689133,2.5,3,20,TRUE,none,,,1,,,,,,
1,Pittsburgh,PA,40.427086,-79.973273,3.5,82,94,TRUE,none,average,casual,2,FALSE,FALSE,,FALSE,TRUE,
0,Pittsburgh,PA,40.440386,-79.99447,2.5,6,10,TRUE,none,,,2,,,,,,
0,Montreal,QC,45.463423,-73.5880207,3,3,4,TRUE,none,,,,FALSE,,,,,
0,Charlotte,NC,35.2477994,-80.8040482,5,50,215,TRUE,none,,,2,,TRUE,,,,
1,Las Vegas,NV,36.118699,-115.186442,3,16,96,TRUE,full_bar,,,2,,,yes,FALSE,,
0,Montral,QC,45.5247442,-73.5965787,4.5,15,24,TRUE,none,,,2,,,,,,
0,Glendale,AZ,33.670125,-112.187708,4,4,29,TRUE,none,,,2,,,,,,
1,Montral,QC,45.5167372,-73.5577368,4,6,5,FALSE,none,quiet,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Gila Bend,AZ,32.9467263,-112.7201835,4,7,29,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,,TRUE,FALSE,
1,Phoenix,AZ,33.4802381,-112.077889,2,14,11,TRUE,none,average,casual,1,TRUE,TRUE,,FALSE,,
1,Las Vegas,NV,36.1906225,-115.2588414,3,52,87,TRUE,none,quiet,casual,1,TRUE,TRUE,,FALSE,TRUE,
1,Chandler,AZ,33.300157,-111.842515,3.5,217,549,TRUE,full_bar,average,casual,2,FALSE,TRUE,outdoor,TRUE,FALSE,
1,Surprise,AZ,33.63386536,-112.3419189,4,9,14,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,,
1,Saint-Laurent,QC,45.51254,-73.6796902,4.5,5,3,TRUE,beer_and_wine,quiet,dressy,3,FALSE,FALSE,,TRUE,FALSE,
1,Fitchburg,WI,43.0177229,-89.423194,3.5,6,4,TRUE,none,average,casual,1,FALSE,,,FALSE,,
1,Chandler,AZ,33.33761078,-111.8584288,4,43,212,TRUE,beer_and_wine,quiet,casual,1,FALSE,TRUE,outdoor,TRUE,TRUE,
1,Kirkland,QC,45.45473377,-73.85876029,2.5,3,7,FALSE,none,average,dressy,3,FALSE,TRUE,,FALSE,FALSE,
0,Mesa,AZ,33.4222901,-111.8471316,4.5,3,13,TRUE,none,,,2,,,,,,
0,Phoenix,AZ,33.488164,-112.030538,2.5,7,11,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,FALSE,
0,Montral,QC,45.4701147,-73.6082185,4.5,5,9,TRUE,none,quiet,,2,,,,,,
1,Phoenix,AZ,33.498693,-112.082791,2,14,30,TRUE,full_bar,average,,2,,TRUE,no,TRUE,,
1,Montral,QC,45.50452467,-73.57249238,3.5,3,7,TRUE,none,,casual,1,FALSE,,,FALSE,FALSE,
0,Las Vegas,NV,36.168754,-115.15736,3,4,7,FALSE,none,,,,,,,,,
1,Kitchener,ON,43.4514307,-80.4944781,3.5,6,3,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,TRUE,FALSE,
0,Glendale,AZ,33.6367029,-112.1849365,3,26,310,TRUE,none,,,1,,TRUE,,,,
1,Sun Prairie,WI,43.17067067,-89.26626902,2.5,19,15,TRUE,none,loud,casual,2,TRUE,TRUE,,FALSE,TRUE,
0,Tempe,AZ,33.3351812,-111.9071248,2.5,5,27,TRUE,none,,casual,2,FALSE,FALSE,,FALSE,,
0,Madison,WI,43.087608,-89.358299,3.5,5,4,TRUE,none,,,2,,,,,,
1,Charlotte,NC,35.088556,-80.857383,3.5,44,115,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,TRUE,
1,Madison,WI,43.0735642,-89.3824733,3.5,29,11,FALSE,full_bar,average,casual,3,FALSE,FALSE,,TRUE,,
0,Phoenix,AZ,33.4952249,-112.0132474,3,26,18,TRUE,none,quiet,casual,1,TRUE,TRUE,,FALSE,FALSE,TRUE
0,Mesa,AZ,33.4360779,-111.7892764,4,20,436,TRUE,none,,,2,,TRUE,,,,
1,Edinburgh,EDH,55.9394245,-3.2049609,3.5,22,8,TRUE,beer_and_wine,average,casual,2,FALSE,,,FALSE,,TRUE
1,Edinburgh,EDH,55.9384213,-3.191706,4,8,27,TRUE,full_bar,average,,1,,TRUE,no,FALSE,,
1,Las Vegas,NV,36.128561,-115.1711298,4.5,28,11,FALSE,none,,casual,1,FALSE,FALSE,,TRUE,,
1,Tempe,AZ,33.4214418,-111.9600488,4,64,140,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,TRUE
0,Phoenix,AZ,33.44341,-111.993675,3,5,8,TRUE,none,loud,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Phoenix,AZ,33.481701,-112.04713,4,15,13,FALSE,full_bar,loud,,1,,,outdoor,FALSE,,
1,North Las Vegas,NV,36.260078,-115.156051,3.5,46,105,TRUE,beer_and_wine,quiet,casual,1,TRUE,TRUE,,FALSE,TRUE,
0,Charlotte,NC,35.05534853,-80.85164756,3.5,4,14,TRUE,none,,,1,,,,,,
0,Phoenix,AZ,33.4811847,-112.2548912,2.5,21,33,TRUE,none,average,casual,1,FALSE,FALSE,,TRUE,TRUE,
1,Scottsdale,AZ,33.58347203,-111.9760119,3,11,241,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,FALSE,
0,Las Vegas,NV,36.1212352,-115.1501752,3.5,4,16,FALSE,none,,casual,1,FALSE,,,FALSE,,TRUE
1,Phoenix,AZ,33.49245,-112.151335,3.5,8,14,TRUE,none,very_loud,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Phoenix,AZ,33.4572256,-112.0898341,4,152,456,TRUE,none,average,casual,1,FALSE,,,FALSE,TRUE,
1,Anthem,AZ,33.86402795,-112.1278838,4,4,5,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,,
1,Las Vegas,NV,36.08235,-115.243453,3.5,105,386,FALSE,none,quiet,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Charlotte,NC,35.201677,-80.7619609,4.5,3,8,TRUE,none,average,casual,2,,,,FALSE,,
1,Las Vegas,NV,36.1177282,-115.1758183,3,1052,2019,TRUE,full_bar,loud,casual,3,FALSE,TRUE,no,FALSE,FALSE,
0,Pittsburgh,PA,40.4521293,-79.9517924,3,13,14,TRUE,none,,,1,,,,,,
1,Chandler,AZ,33.33601241,-111.859687,4,180,414,FALSE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Charlotte,NC,35.140581,-80.73765,4.5,18,17,TRUE,none,quiet,casual,1,FALSE,FALSE,,FALSE,,
0,Dollard-des-Ormeaux,QC,45.4845979,-73.7980204,2,5,4,FALSE,none,,,2,,,,,,
1,Mesa,AZ,33.4518011,-111.7664825,2,8,44,TRUE,none,,casual,1,FALSE,,,TRUE,,
1,Scottsdale,AZ,33.624755,-111.932933,4.5,151,173,TRUE,full_bar,average,dressy,3,FALSE,TRUE,,TRUE,TRUE,FALSE
1,Las Vegas,NV,36.159706,-115.245078,4,372,2104,TRUE,none,average,casual,2,FALSE,TRUE,,FALSE,FALSE,TRUE
1,Glendale,AZ,33.514798,-112.186973,3.5,3,4,TRUE,none,,,1,,,yes,TRUE,,
0,Montreal,QC,45.4969853,-73.5749378,4.5,4,3,TRUE,none,,casual,,,TRUE,,TRUE,,
1,Mesa,AZ,33.416355,-111.685046,4,76,108,TRUE,none,average,casual,2,TRUE,TRUE,,FALSE,TRUE,
1,Las Vegas,NV,36.013144,-115.136143,4,140,544,TRUE,none,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
0,Queen Creek,AZ,33.24500467,-111.622467,5,8,82,TRUE,none,,,1,,,,,,
1,Las Vegas,NV,36.15937617,-115.3506779,3.5,58,163,TRUE,none,average,casual,1,TRUE,TRUE,,FALSE,TRUE,
1,Tempe,AZ,33.3742118,-111.9193401,4.5,3,4,FALSE,full_bar,,casual,1,FALSE,TRUE,,TRUE,,TRUE
1,Chandler,AZ,33.3358421,-111.8590862,3.5,59,144,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Las Vegas,NV,36.195649,-115.2577516,4,141,622,TRUE,none,loud,casual,1,FALSE,,,TRUE,TRUE,
0,Scottsdale,AZ,33.5025088,-111.9290233,3,4,31,TRUE,beer_and_wine,,,2,,TRUE,,FALSE,,
1,Las Vegas,NV,36.102784,-115.13605,4,64,199,TRUE,full_bar,average,casual,1,FALSE,TRUE,yes,FALSE,FALSE,FALSE
1,Charlotte,NC,35.230194,-80.839336,3.5,157,509,TRUE,full_bar,average,casual,2,FALSE,TRUE,no,TRUE,TRUE,TRUE
1,Las Vegas,NV,36.108111,-115.136431,3.5,59,227,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,,TRUE
0,Phoenix,AZ,33.5094226,-112.0710576,4.5,3,10,TRUE,none,,,2,,,,,,
0,Madison,WI,43.07319695,-89.38583179,4,105,1329,TRUE,none,,,2,,,,TRUE,,
1,Las Vegas,NV,36.1958244,-115.2063397,4.5,16,68,TRUE,none,loud,casual,1,FALSE,TRUE,,FALSE,TRUE,
0,Scottsdale,AZ,33.624679,-111.92438,3.5,38,68,FALSE,none,,,3,,,,,,
0,Chandler,AZ,33.3056767,-111.8976863,3,5,110,TRUE,none,,,2,,,,TRUE,,
0,Montral,QC,45.59362412,-73.5736618,3.5,4,5,TRUE,beer_and_wine,average,casual,2,FALSE,,,FALSE,FALSE,
1,Scottsdale,AZ,33.5780268,-111.9269378,3.5,37,279,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Tempe,AZ,33.421311,-111.9258527,3,11,6,TRUE,beer_and_wine,average,casual,2,TRUE,FALSE,,TRUE,TRUE,
1,Champaign,IL,40.110554,-88.232373,3.5,32,24,TRUE,none,average,casual,1,TRUE,FALSE,,FALSE,,
0,Montreal,QC,45.5381793,-73.6138844,4.5,10,7,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Las Vegas,NV,36.173102,-115.077982,2,11,20,TRUE,none,,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Pittsburgh,PA,40.4446704,-79.9487066,3,13,62,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Las Vegas,NV,36.11006363,-115.1709312,3,21,27,TRUE,full_bar,loud,casual,3,FALSE,TRUE,,FALSE,TRUE,
0,Sun Prairie,WI,43.1876509,-89.2287907,4,8,9,TRUE,beer_and_wine,,casual,1,TRUE,TRUE,,FALSE,,
0,Las Vegas,NV,36.0291019,-115.1149607,3.5,11,18,TRUE,none,,,2,,,,,,
1,Las Vegas,NV,36.064736,-115.2491039,3.5,9,90,TRUE,none,very_loud,casual,1,FALSE,FALSE,,TRUE,FALSE,
0,Montral,QC,45.489599,-73.585324,3.5,10,30,TRUE,none,,,1,,,,FALSE,,
0,Urbana,IL,40.1139865,-88.2029151,3.5,16,50,TRUE,none,,,2,,,,,,
0,Matthews,NC,35.1198229,-80.697931,3.5,7,20,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,,
1,Montral,QC,45.5245056,-73.5824538,2.5,9,33,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Tolleson,AZ,33.4502916,-112.2658297,3.5,20,50,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Tempe,AZ,33.3345567,-111.9680279,3,21,10,TRUE,none,very_loud,casual,2,TRUE,FALSE,,FALSE,TRUE,
1,Phoenix,AZ,33.6556294,-112.015465,4.5,41,67,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
0,Henderson,NV,36.021584,-115.049224,4,4,28,FALSE,none,,,1,,,,,,
0,Edinburgh,EDH,55.9459816,-3.2125303,4,12,16,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
0,Las Vegas,NV,36.0535699,-115.2791664,4.5,16,17,TRUE,none,,,2,,,,,,
1,Urbana,IL,40.111959,-88.208652,4.5,6,4,FALSE,full_bar,,,3,,FALSE,outdoor,FALSE,,
0,Las Vegas,NV,36.18835528,-115.2594984,3.5,29,343,TRUE,none,,,2,FALSE,,,,,
1,Madison,WI,43.0681872,-89.391421,4,49,143,TRUE,full_bar,loud,casual,1,TRUE,TRUE,no,TRUE,FALSE,
1,Madison,WI,43.0583785,-89.5026881,2.5,11,27,TRUE,none,,casual,1,FALSE,FALSE,,FALSE,,
0,Phoenix,AZ,33.7107164,-112.1096746,3.5,30,456,TRUE,none,,,2,,TRUE,,TRUE,,
1,Phoenix,AZ,33.6395011,-112.0717684,4,15,139,TRUE,beer_and_wine,very_loud,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Charlotte,NC,35.199843,-80.841189,3,8,60,FALSE,none,,,1,,,,TRUE,,
1,Phoenix,AZ,33.406857,-111.994824,2.5,4,78,TRUE,none,average,casual,1,TRUE,TRUE,,FALSE,TRUE,
1,Edinburgh,EDH,55.9480776,-3.1870077,4.5,64,48,TRUE,full_bar,average,casual,2,,TRUE,no,FALSE,,
0,Las Vegas,NV,36.123289,-115.154585,4,6,17,TRUE,none,,,1,,,,,,
1,Mesa,AZ,33.3897636,-111.8570231,3.5,26,84,FALSE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,TRUE,
0,Scottsdale,AZ,33.5277781,-111.9258936,4,6,89,TRUE,none,,,2,,TRUE,,,,
0,Scottsdale,AZ,33.50165,-111.917857,3,4,31,TRUE,none,,,2,,,,,,
0,Glendale,AZ,33.5260825,-112.1709445,3,4,78,TRUE,none,,,1,,,,,,
1,Glendale,AZ,33.6390054,-112.2198136,3.5,64,225,TRUE,full_bar,average,casual,2,FALSE,,,TRUE,TRUE,
1,Montral,QC,45.4935037,-73.579451,3,15,8,TRUE,beer_and_wine,quiet,casual,3,FALSE,FALSE,,FALSE,,
0,North Las Vegas,NV,36.240283,-115.120634,4,6,14,FALSE,none,,,1,,,,,,
0,Edinburgh,EDH,55.9597985,-3.1823036,4.5,18,8,TRUE,none,,,2,,,,,,
1,Edinburgh,EDH,55.9421327,-3.2028738,3.5,3,4,FALSE,beer_and_wine,quiet,casual,2,TRUE,TRUE,,FALSE,,
1,Scottsdale,AZ,33.4777717,-111.9260315,4,26,242,TRUE,full_bar,average,,1,,,outdoor,TRUE,,
1,Phoenix,AZ,33.5661398,-112.0565478,4,17,24,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Scottsdale,AZ,33.480732,-111.950518,2.5,8,315,TRUE,none,,,2,,TRUE,,,,
1,Chandler,AZ,33.322668,-111.822674,3.5,40,120,TRUE,full_bar,loud,casual,2,TRUE,FALSE,,FALSE,TRUE,
1,Coolidge,AZ,32.9597113,-111.5245379,4.5,3,17,TRUE,full_bar,average,casual,1,FALSE,TRUE,outdoor,TRUE,TRUE,
1,Phoenix,AZ,33.348162,-111.9819,3.5,22,215,TRUE,full_bar,average,casual,2,FALSE,TRUE,outdoor,TRUE,FALSE,
0,Las Vegas,NV,36.130127,-115.110177,3,3,18,TRUE,none,average,casual,1,FALSE,FALSE,,,FALSE,
1,Montreal,QC,45.5500977,-73.5738062,2,10,7,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Glendale,AZ,33.541495,-112.18406,4.5,24,50,TRUE,none,quiet,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Champaign,IL,40.11690698,-88.24260192,4,101,98,TRUE,full_bar,average,dressy,3,FALSE,TRUE,no,TRUE,FALSE,FALSE
1,Charlotte,NC,35.336302,-80.961875,2.5,10,23,TRUE,full_bar,average,casual,1,FALSE,TRUE,outdoor,TRUE,,
1,Montreal,QC,45.5025477,-73.5578541,4.5,67,70,TRUE,full_bar,average,casual,3,FALSE,FALSE,,FALSE,FALSE,
1,Charlotte,NC,35.2123711,-80.8171636,3,13,25,TRUE,full_bar,average,casual,2,TRUE,FALSE,,TRUE,,
1,Mesa,AZ,33.3819058,-111.7384541,3.5,8,19,TRUE,none,quiet,casual,1,FALSE,,,TRUE,TRUE,
1,Madison,WI,43.0876189,-89.366341,4,27,71,TRUE,full_bar,very_loud,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Scottsdale,AZ,33.611788,-111.86412,3,4,94,TRUE,none,,,1,,,,,,
0,Madison,WI,43.0518882,-89.5088528,2,8,62,TRUE,none,,,1,,,,,,
0,Phoenix,AZ,33.6577429,-111.929248,4,27,61,FALSE,none,quiet,casual,1,FALSE,TRUE,,TRUE,TRUE,TRUE
1,Scottsdale,AZ,33.514027,-111.92487,4,9,49,TRUE,full_bar,quiet,casual,2,TRUE,TRUE,,TRUE,,
1,Gilbert,AZ,33.3362723,-111.8219235,4,53,108,TRUE,full_bar,average,casual,1,FALSE,TRUE,,FALSE,TRUE,TRUE
1,Las Vegas,NV,36.1299924,-115.2074043,3.5,12,19,FALSE,none,average,casual,,,,,,,
0,Queen Creek,AZ,33.25003758,-111.634486,4,16,14,FALSE,none,average,casual,2,FALSE,TRUE,,FALSE,,
1,Scottsdale,AZ,33.6222342,-111.9217196,4,56,342,FALSE,full_bar,very_loud,casual,2,FALSE,,,TRUE,FALSE,
0,Phoenix,AZ,33.5671834,-112.0995566,1.5,3,11,TRUE,none,,,1,,,,,,
1,Karlsruhe,BW,49.0099839,8.3969286,4.5,25,10,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,outdoor,TRUE,FALSE,
1,Charlotte,NC,35.317215,-80.739129,2.5,9,8,TRUE,full_bar,very_loud,casual,1,TRUE,TRUE,outdoor,TRUE,,
1,Queen Creek,AZ,33.1603724,-111.562074,2.5,5,29,TRUE,none,average,casual,1,FALSE,,,FALSE,FALSE,
0,Las Vegas,NV,36.1150902,-115.2076197,3,13,18,FALSE,none,,,1,,,,,,
0,Pittsburgh,PA,40.4338382,-80.0659218,4,14,10,TRUE,none,,,1,,FALSE,,,,
1,Carnegie,PA,40.415517,-80.067534,4,15,21,TRUE,full_bar,loud,casual,1,FALSE,FALSE,outdoor,TRUE,FALSE,
1,Mesa,AZ,33.3799452,-111.7882587,2,20,90,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,TRUE,
0,Montral,QC,45.4939623,-73.5569955,3.5,5,6,FALSE,full_bar,,,,,,,FALSE,,
1,Charlotte,NC,35.2044659,-80.792443,4,83,208,TRUE,beer_and_wine,quiet,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Phoenix,AZ,33.6402613,-112.0921564,3,35,21,TRUE,none,quiet,casual,1,TRUE,TRUE,,FALSE,FALSE,
1,Edinburgh,EDH,55.9535309,-3.1879051,3.5,7,16,TRUE,none,quiet,casual,1,FALSE,,,TRUE,,
1,Pittsburgh,PA,40.4281303,-79.9717986,4,26,82,TRUE,full_bar,average,casual,1,FALSE,FALSE,outdoor,TRUE,TRUE,
1,Las Vegas,NV,36.127754,-115.224318,3.5,91,467,TRUE,full_bar,very_loud,casual,2,FALSE,TRUE,,FALSE,FALSE,FALSE
1,Charlotte,NC,35.3475984,-80.8585564,3.5,45,129,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,FALSE,
0,Las Vegas,NV,36.1274245,-115.170815,4,3,11,TRUE,none,,,,,,,,,
0,Verdun,QC,45.4569343,-73.5719045,4,7,6,TRUE,none,,casual,1,,TRUE,,FALSE,,
1,Montal,QC,45.5206504,-73.5543287,3,8,7,TRUE,full_bar,quiet,casual,2,FALSE,TRUE,,TRUE,,
0,Las Vegas,NV,36.165165,-115.156075,2,10,8,TRUE,none,,,2,,TRUE,,,,
1,Phoenix,AZ,33.610554,-112.013072,4.5,311,937,TRUE,none,average,casual,1,FALSE,,,FALSE,FALSE,
1,Scottsdale,AZ,33.5819441,-111.881648,2.5,3,35,TRUE,none,average,casual,1,TRUE,TRUE,,FALSE,FALSE,
1,Pittsburgh,PA,40.42622997,-79.88811493,2,4,14,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,,
